mean_fee,service_count,above_cap,sa3_code,sa3_name,sa4_code,sa4_name,file_source,year,month,date,city,cccpi,cpi,base_fee,index_fee,base_cccpi,index_cccpi,base_cpi,index_cpi,base_prescpi,index_prescpi,adj_fee,prop_above,aprox_sub,sub_lvl
12.29,56,32,20802,Glen Eira,208,Melbourne - Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,12.24,100.40849673202614,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,10.10511111111111,0.5714285714285714,-3.429141644357614,control
11.01,37,10,20803,Kingston,208,Melbourne - Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.99,100.18198362147406,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.052666666666667,0.2702702702702703,-3.6556547549096905,control
11.92,9,7,20804,Stonnington - East,208,Melbourne - Inner South,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,11.84,100.67567567567568,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,9.80088888888889,0.7777777777777778,-3.1619627007080737,control
10.77,25,5,20901,Banyule,209,Melbourne - North East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.77,100,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.855333333333334,0.2,-3.837638376383751,control
10.5,27,1,20902,Darebin - North,209,Melbourne - North East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.48,100.19083969465647,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.633333333333333,0.037037037037037035,-3.646798681727276,control
10.43,19,4,20903,Nillumbik - Kinglake,209,Melbourne - North East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.31,101.1639185257032,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.575777777777779,0.21052631578947367,-2.6737198506805555,control
9.56,53,3,20904,Whittlesea - Wallan,209,Melbourne - North East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.39,101.81043663471779,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.860444444444446,0.05660377358490566,-2.0272017416659622,control
10.25,11,2,21001,Keilor,210,Melbourne - North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.98,102.70541082164328,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.427777777777779,0.18181818181818182,-1.1322275547404672,control
9.64,7,0,21002,Macedon Ranges,210,Melbourne - North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.71,99.27909371781668,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.926222222222224,0,-4.558544658567072,control
10.34,15,1,21003,Moreland - North,210,Melbourne - North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.14,101.9723865877712,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.501777777777779,0.06666666666666667,-1.8652517886125537,control
9.22,12,0,21004,Sunbury,210,Melbourne - North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.12,101.09649122807018,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.5808888888888895,0,-2.7411471483135728,control
9.61,42,1,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.42,102.01698513800423,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.9015555555555554,0.023809523809523808,-1.8206532383795206,control
10.34,44,5,21101,Knox,211,Melbourne - Outer East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.25,100.8780487804878,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.501777777777779,0.11363636363636363,-2.959589595895949,control
10.69,5,1,21102,Manningham - East,211,Melbourne - Outer East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.3,103.78640776699028,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.789555555555557,0.2,-0.05123060939347113,control
9.87,37,0,21103,Maroondah,211,Melbourne - Outer East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.8,100.7142857142857,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.115333333333332,0,-3.123352662098057,control
10.39,17,1,21104,Whitehorse - East,211,Melbourne - Outer East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.26,101.26705653021443,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.54288888888889,0.058823529411764705,-2.5705818461693184,control
9.51,35,1,21105,Yarra Ranges,211,Melbourne - Outer East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.35,101.71122994652406,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.819333333333334,0.02857142857142857,-2.126408429859694,control
9.1,29,0,21201,Cardinia,212,Melbourne - South East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.04,100.66371681415929,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.482222222222223,0,-3.1739215622244643,control
9.65,32,1,21202,Casey - North,212,Melbourne - South East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.61,100.41623309053071,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.934444444444446,0.03125,-3.421405285853041,control
9.31,62,1,21203,Casey - South,212,Melbourne - South East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.32,99.89270386266095,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.654888888888889,0.016129032258064516,-3.9449345137227994,control
9.77,44,2,21204,Dandenong,212,Melbourne - South East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.56,102.19665271966527,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.033111111111111,0.045454545454545456,-1.6409856567184846,control
10.65,45,4,21205,Monash,212,Melbourne - South East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.44,102.01149425287358,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.756666666666668,0.08888888888888889,-1.8261441235101756,control
9.43,43,0,21301,Brimbank,213,Melbourne - West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.3,101.39784946236558,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.753555555555556,0,-2.439788914018166,control
10.57,21,1,21302,Hobsons Bay,213,Melbourne - West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.49,100.7626310772164,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.690888888888889,0.047619047619047616,-3.0750072991673534,control
10.94,22,5,21303,Maribyrnong,213,Melbourne - West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,10.72,102.05223880597015,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.995111111111111,0.22727272727272727,-1.7853995704136025,control
9.3,45,0,21304,Melton - Bacchus Marsh,213,Melbourne - West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.14,101.75054704595186,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,7.646666666666667,0,-2.087091330431889,control
9.99,76,3,21305,Wyndham,213,Melbourne - West,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,mel,140.7,114.7,9.94,100.50301810865191,135.5,103.83763837638375,114.6,100.08726003490402,139.5,82.22222222222223,8.214,0.039473684210526314,-3.334620267731836,control
8.44,26,0,30101,Capalaba,301,Brisbane - East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,bri,153.6,114.1,8.32,101.4423076923077,151,101.72185430463577,114,100.0877192982456,140.2,81.38373751783166,6.868787446504992,0,-0.2795466123280761,control
8.81,26,0,30102,Cleveland - Stradbroke,301,Brisbane - East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,bri,153.6,114.1,8.74,100.8009153318078,151,101.72185430463577,114,100.0877192982456,140.2,81.38373751783166,7.16990727532097,0,-0.9209389728279689,control
9.16,20,0,30103,Wynnum - Manly,301,Brisbane - East,excel_tables_-_march_quarter_2019.xlsx,2019,3,2019-03-01,bri,153.6,114.1,8.99,101.89098998887654,151,101.72185430463577,114,100.0877192982456,140.2,81.38373751783166,7.45475035663338,0,0.1691356842407714,control
